time,direction,bytes,latency,bps,duration,serverTime,responseSize,loadedLatencies
1755610693883,download,100000,12.699891000186263,17991075.359317012,44.59989100009313,61.000109,100300,
1755610696308,download,100000,40.40003599990687,18531162.422207955,43.30003599981374,62.999964,100300,
1755610696414,download,100000,34.2999430002794,22104717.90530977,36.2999430002794,65.000057,100300,9.499816999999993
1755610696654,download,100000,13.799911999813737,14226972.552746624,56.39991199990687,58.000088,100300,
1755610696753,download,100000,9.799953999813738,24538260.81855821,32.699953999720606,52.000046,100300,
1755610696875,download,100000,15.499819000000002,14354250.413607543,55.89981899990687,60.000181,100300,
1755610696983,download,100000,40.7001299997206,18445921.88575069,43.50013,60.99987,100300,16.499951999999993
1755610697111,download,100000,36.499882,11129005.7312294,72.09988200009313,51.000118,100300,
1755610697196,download,100000,21.60009900009313,32617754.912163656,24.60009900009313,53.999901,100300,
1755610697294,download,100000,33.999809,22044071.714828312,36.39980899990687,50.000191,100300,
1755610697530,download,1000000,9.699861000186267,46471582.22730124,172.19986100018627,54.000139,1000300,45.600120000093135
1755610697787,download,1000000,16.699993999720604,45416573.62379189,176.19999399972062,69.000006,1000300,
1755610698074,download,1000000,25.199912000186266,43920987.18462509,182.19991200018626,58.000088,1000300,59.69993300018626
1755610698259,download,1000000,11.199724999720601,67759683.60632245,118.09972500009313,62.000275,1000300,
1755610698471,download,1000000,14.599912000093134,53635420.37487921,149.1999119997206,58.000088,1000300,
1755610698673,download,1000000,12.199797999720602,59719493.009982,133.999798,63.000202,1000300,14.90002699990687
1755610698846,download,1000000,18.799766999813734,70943408.95237146,112.79976699981373,56.000233,1000300,
1755610699076,download,1000000,15.600172000093131,47100599.756923065,169.90017199990686,54.999828,1000300,7.8000150002794015
1755610699452,upload,100000,10.999929000000009,2220994.4751381213,362,351.000071,381,10.999912000000002
1755610699525,upload,100000,31.200143000186266,14306049.82201664,56.200000000186265,24.999857,376,
1755610699575,upload,100000,12.999956000000001,19142857.142857138,42,29.000044,381,
1755610699613,upload,100000,11.300018999813737,25686900.95861931,31.299999999813735,19.999981,381,
1755610699659,upload,100000,11.899976999906869,21213720.316674817,37.89999999990687,26.000023,382,
1755610699702,upload,100000,13.299686999813737,22776203.966125842,35.299999999813735,22.000313,380,
1755610699762,upload,100000,14.100132000093133,15431861.804195061,52.10000000009313,37.999868,381,14.500004000000004
1755610699818,upload,100000,14.39983199990687,20937500.000050776,38.39999999990687,24.000168,381,
1755610712930,upload,1000000,11.100095000093134,72367236.7236117,111.10000000009313,99.999905,381,
1755610713146,upload,1000000,13.299805000279392,73559011.89368203,109.3000000002794,96.000195,380,40.39997499990687
1755610713276,upload,1000000,9.299899000279396,77831558.56706925,103.3000000002794,94.000101,380,
1755610713453,upload,1000000,19.599857000093138,67224080.26750617,119.60000000009313,100.000143,376,
1755610713632,upload,1000000,21.899804999906863,68193384.22397244,117.89999999990687,96.000195,376,
1755610713799,upload,1000000,19.39987600037253,57675753.227966376,139.40000000037253,120.000124,376,50.600120000093135
1755610714955,download,10000000,25.800057000279395,74014613.54532285,1080.9000570003725,59.999943,10000300,16.499861000000003 40.60004800009313
1755610716094,download,10000000,24.499943000000002,80737112.32413495,990.8999430003726,65.000057,10000300,58.699953999720606 45.099737000093135
1755610717409,download,10000000,34.19984000018626,64212545.36799369,1245.8998400003725,57.00016,10000300,16.59988200009313 40.499819
1755610718543,download,10000000,9.299745999813737,75126696.48059715,1064.8997459999068,59.000254,10000300,25.399974999906867 26.200098999720602 49.000048
1755610719741,download,10000000,8.000098999999999,72551367.38680956,1102.7000989997207,53.999901,10000300,23.299953999813738 33.499973
1755610720880,download,10000000,15.399806999906872,75932436.08104448,1053.5998069996274,73.000193,10000300,29.999767 36.499954
1755610722045,upload,10000000,66.19996900018623,86062941.55425386,934.2000000001863,868.000031,381,191.7999120002794 194.10006900009313
1755610723117,upload,10000000,9.399927999906822,91011999.09441756,883.3999999999069,874.000072,376,
1755610724352,upload,10000000,12.700096999720586,83341971.59741192,964.6999999997206,951.999903,381,654.999788 52.09989100009313
1755610725455,upload,10000000,23.59978300009311,89772219.74094644,895.6000000000931,872.000217,380,73.90005699990687 57.59996400009313
1755610727993,download,25000000,19.09992200009313,81820653.89544208,2444.399921999907,68.000078,25000300,15.999944999999997 25.999975 40.40006900037253 48.500048 35.299975000279396
1755610730404,download,25000000,26.6999639997206,86167077.2918215,2321.0999639996276,62.000036,25000300,50.099736999627474 49.499924 45.199787999720606 40.1998089997206 36.09994100009314
1755610736140,download,25000000,20.699839999720602,78435394.54475486,2549.899839999907,57.00016,25000300,29.400005999906867 28.999890999999998 40.89971599990687 44.000006 31.400098999906866
1755610744060,download,25000000,13.09996399962747,25519950.09872628,7837.099963999627,62.000036,25000300,42.999877999999995 44.7998190002794
1755610747195,upload,25000000,9.699946999720396,83621084.16192676,2403.6999999997206,2394.000053,375,27.699882000186264 22.499912000000002
1755610749954,upload,25000000,12.599869999627572,86392160.2338314,2326.5999999996275,2314.00013,376,7.900056999906866 24.599819000093134 32.69992200018626
1755610752866,upload,25000000,11.999964000000091,78088578.08857808,2574,2562.000036,376,33.299757999813735 42.80016000027939 42.1999329997206
1755610755440,upload,25000000,17.299721999813755,89321423.81016603,2250.2999999998137,2233.000278,381,42.79991199981374 53.499725 50.89990299990687
